time,control,x,theta1,theta2,xdot,theta1dot,theta2dot
3.520000000000000018e+00,-1.465381594228944095e+00,3.345912379254546209e+00,-1.043341543552898515e-01,-8.602069992169078527e-02,5.727087589864277017e-01,-4.768257809335172542e-02,-9.294731769529511467e-02
3.560000000000000053e+00,-1.490966047514859838e+00,3.367533939200953785e+00,-1.055609483472816218e-01,-8.920825815018108840e-02,5.088689623854943944e-01,-1.495273084393856575e-02,-6.658708415501884970e-02
3.600000000000000089e+00,-1.495499460314718476e+00,3.386639404803310605e+00,-1.055791281198729115e-01,-9.136473784029591760e-02,4.468535706467506863e-01,1.309235012834747067e-02,-4.149887485759648498e-02
3.640000000000000124e+00,-1.484297782027304891e+00,3.403312532558895764e+00,-1.045700148849239980e-01,-9.255226429892891848e-02,3.872033225376925181e-01,3.670837588823013670e-02,-1.820812572308603064e-02
3.680000000000000160e+00,-1.461397626421160112e+00,3.417654729599204355e+00,-1.027019790008539407e-01,-9.284978416601014084e-02,3.302611331900670022e-01,5.628916393572633292e-02,2.962719621440743425e-03
3.720000000000000195e+00,-1.429764589220461346e+00,3.429778271213271168e+00,-1.001266018191269980e-01,-9.234578717728619823e-02,2.762280212332347551e-01,7.228463370727697401e-02,2.185210059021600731e-02
3.760000000000000231e+00,-1.391550828960866681e+00,3.439801524701574742e+00,-9.697756120920879297e-02,-9.113268489982569165e-02,2.252076965589263624e-01,8.514533011951511132e-02,3.841926496110137368e-02
3.800000000000000266e+00,-1.348331600441170508e+00,3.447845710025327914e+00,-9.337124574497590590e-02,-8.930269685963482251e-02,1.772389749201837006e-01,9.529057819128210205e-02,5.270931966490637055e-02
3.839999999999999858e+00,-1.301290680447166892e+00,3.454032745292863638e+00,-8.940827971505065086e-02,-8.694500794491667739e-02,1.323177285018764526e-01,1.030942110388245042e-01,6.482474976483840190e-02
3.879999999999999893e+00,-1.251352824176230172e+00,3.458483812014800929e+00,-8.517539034169528678e-02,-8.414393292969310489e-02,9.041099564102383912e-02,1.088815261837907944e-01,7.490345613218642173e-02
3.919999999999999929e+00,-1.199271284974294360e+00,3.461318376341350866e+00,-8.074727175070428586e-02,-8.097784004562585958e-02,5.146571336573407124e-02,1.129324336312269167e-01,8.310262280397869017e-02
3.959999999999999964e+00,-1.145682646058105547e+00,3.462653491150908813e+00,-7.618827028319417882e-02,-7.751862036846465798e-02,1.541404740730208285e-02,1.154872940153752886e-01,8.958738604328875255e-02
4.000000000000000000e+00,-1.091139404627014642e+00,3.462603270744220918e+00,-7.155382623941332343e-02,-7.383153253791263637e-02,-1.782330140429306403e-02,1.167533651793154215e-01,9.452322359843422228e-02
4.040000000000000036e+00,-1.036128505434383840e+00,3.461278475375364483e+00,-6.689166986394333436e-02,-6.997529401786459213e-02,-4.833491273539040206e-02,1.169107577347027055e-01,9.807109030259582305e-02
4.080000000000000071e+00,-9.810814666113074622e-01,3.458786171684590016e+00,-6.224280011269790053e-02,-6.600232574896190696e-02,-7.621704020059928697e-02,1.161174435724637161e-01,1.003844961408332098e-01
