time,control,x,theta1,theta2,xdot,theta1dot,theta2dot
2.800000000000000266e+00,-1.211571584066431617e+00,3.462405687730388149e+00,-2.478634396443857024e-01,-2.308527977387105079e-01,-1.847634873172118997e-01,1.626140912766700808e+00,5.558341842258284204e-01
2.839999999999999858e+00,-2.635271986396716670e-01,3.455028302268139839e+00,-1.887781990865317339e-01,-2.062607816925715598e-01,-1.854104646737491091e-01,1.346106301257878446e+00,6.618002472349986398e-01
2.879999999999999893e+00,-1.811289068826558296e-02,3.448211160881077042e+00,-1.403483726274999122e-01,-1.787040866414296991e-01,-1.568897827060501127e-01,1.090602511042019440e+00,7.071155003070835887e-01
2.919999999999999929e+00,-7.610289168569493723e-02,3.442562737078586732e+00,-1.008630136877089606e-01,-1.502422924845691343e-01,-1.268476823223901040e-01,8.955719406076673161e-01,7.102157987368754588e-01
2.959999999999999964e+00,-2.194643165506209581e-01,3.437922451905338850e+00,-6.780161247954802350e-02,-1.222203624680317791e-01,-1.062567426527434855e-01,7.664798585747824022e-01,6.876338141698794537e-01
3.000000000000000000e+00,-2.981481540438286060e-01,3.433870576651031126e+00,-3.870242731681463461e-02,-9.540787259468465342e-02,-9.721187279411831750e-02,6.953440219527496913e-01,6.513615530208765048e-01
3.040000000000000036e+00,-1.411606015106696699e-01,3.430019495757384629e+00,-1.156211782579244854e-02,-7.019772170749599693e-02,-9.607269167669485466e-02,6.673235774776026252e-01,6.082888068073041277e-01
3.080000000000000071e+00,5.258567190619176657e-01,3.426253649156377090e+00,1.486328178230532371e-02,-4.680313932070968158e-02,-9.292386257586929266e-02,6.592979700788648145e-01,5.606227982702499668e-01
3.120000000000000107e+00,2.098559379395865676e+00,3.423056621559690704e+00,4.056707592966561637e-02,-2.543598961690200430e-02,-6.779188397167749958e-02,6.319122669016856708e-01,5.063033524263174101e-01
3.160000000000000142e+00,4.620745793468910456e+00,3.422000587812950467e+00,6.346173628801395072e-02,-6.473179691750052984e-03,1.368795043763288387e-02,5.205207258156088201e-01,4.392537193695476017e-01
3.200000000000000178e+00,4.620745793468910456e+00,3.426035435871954693e+00,7.890050669682543982e-02,9.422240822325685106e-03,1.861109945812569888e-01,2.609291478928071895e-01,3.519979167174585588e-01
